0,TAL Education Group,4.4000,-1.6000,-26.67%
1,DiDi Global Inc.,8.04,-0.02,-0.25%
2,NIO Inc.,43.17,-0.82,-1.86%
3,Alibaba Group Holding Limited,191.76,-14.77,-7.15%
4,Gaotu Techedu Inc.,2.5000,-1.0200,-28.98%
5,"JD.com, Inc.",66.08,-6.21,-8.59%
6,Carnival Corporation & plc,23.16,+1.20,+5.46%
7,Bank of America Corporation,38.13,+0.43,+1.14%
8,KE Holdings Inc.,24.44,-9.36,-27.69%
9,"Twitter, Inc.",68.69,-3.00,-4.18%
10,Intel Corporation,54.31,+1.31,+2.47%
11,Sirius XM Holdings Inc.,6.38,-0.05,-0.78%
12,Freeport-McMoRan Inc.,36.65,+1.46,+4.15%
13,"AMC Entertainment Holdings, Inc.",40.29,+3.30,+8.92%
14,Apple Inc.,148.99,+0.43,+0.29%
15,General Electric Company,12.92,+0.21,+1.65%
16,Snap Inc.,76.32,-1.65,-2.12%
17,Ford Motor Company,14.03,+0.21,+1.52%
18,PG&E Corporation,8.75,-0.47,-5.10%
19,AT&T Inc.,28.18,+0.03,+0.11%
20,Tencent Music Entertainment Group,10.46,-0.32,-2.97%
21,American Airlines Group Inc.,22.08,+0.88,+4.15%
22,"Advanced Micro Devices, Inc.",91.82,-0.33,-0.36%
23,Itaú Unibanco Holding S.A.,5.69,+0.17,+3.08%
24,"Moderna, Inc.",335.87,-12.96,-3.72%
